PLAYER_NAME,TEAM_NAME,POINTS
Alex Giannaros,Boston U.,410
Anna Miller,Drake,409
Taylor Henderson,N.C. Wilmington,409
Emma Hess,Liberty,409
Genesis Bryant,Illinois,408
McKinley Brooks-Sumpter,Charleston,408
Paige Meyer,S. Dakota St.,406
Shamarre Hale,Austin Peay,406
Bri McDaniel,Maryland,406
Patricia Anumgba,Towson,406
Makira Cook,Illinois,404
Phillipina Kyei,Oregon,404
Makayia Hallmon,Troy,404
Uju Ezeudu,Fla Gulf Coast,403
Jaylyn Sherrod,Colorado,402
Sara Bejedi,Florida St.,402
Frida Formann,Colorado,401
Bryanna Brady,Presbyterian,400
Jamie Loera,Eastern Wash.,399
Hannah Stuelke,Iowa,399
Jalei Oglesby,Oral Roberts,399
Deja Lee,UC Irvine,399
Mia Mancini,Bryant,399
Ally Becki,Ball St.,398
Lauren Betts,UCLA,398
Jordan Obi,Kentucky,398
Kacee Baumhower,Milwaukee,398
Ashley Austin,LIU Brooklyn,398
Mikyla Tolivert,Georgia St.,396
Jillian Hayes,Cincinnati,396
Prencis Harden,Kennesaw St.,396
Zaria Shazer,Marist,396
Ella Stemmer,Lehigh,396
Laila Lawrence,Coppin St.,395
Daniela Abies,Miami (FL),395
Allyson Fertig,Wyoming,394
Anna Foley,Quinnipiac,394
Morgan Sharps,Bowling Green,394
Bella Murekatete,Washington St.,393
Daryn Hickok,Weber St.,393
Delaynie Byrne,Northern Colorado,393
Lauren Hansen,Michigan,393
Kiki Rice,UCLA,392
McKenzie Forbes,USC,392
Natalie McNeal,Green Bay,391
Jessica Tomasetti,University at Albany,391
Rachel Ullstrom,Richmond,391
Denim DeShields,Mississippi St.,390
Carmen Gfeller,Montana,390
Addy Brown,Iowa St.,388
Jenna Clark,Yale,387
Jada Logan,Charleston,387
Anna Deets,Western Ill.,387
Addie Budnik,Richmond,386
Alyssa Ustby,N. Carolina,385
Quincy Noble,Oklahoma St.,385
Diamond Johnson,Norfolk St.,385
Janelle Brown,Fairfield,385
DeArica Pryor,New Orleans,385
Jordyn Dorsey,N.C. A&T,384
Anna Blount,UMBC,384
Madison St. Rose,Princeton,384
Coriah Beck,Alabama A&M,384
Kamilla Cardoso,South Carolina,383
Ava Uhrich,Southern Utah,383
Emma Smith,Denver,382
Makayla Daniels,Arkansas,382
Anna Gret Asi,Oklahoma St.,381
Ryann Payne,Prairie View A&M,381
N'Denasija Collins,Houston Christian,381
Emme Shearer,Portland,381
Aniyah Augmon,New Mexico,381
Shay Ciezki,Indiana,381
Mataya Gayle,Pennsylvania,381
Taliyah Clark,UT Arlington,381
Veronica Sheffey,SDSU,379
Taiyanna Jackson,Kansas,379
Melyia Grayson,Southern Miss,379
Derin Erdogan,Northeastern,376
Jada Session,Furman,376
Londynn Jones,UCLA,376
Georgia Woolley,Syracuse,375
Cecelia Collins,Columbia,374
Sacha Washington,Vanderbilt,374
Ta'Mia Scott,Middle Tenn. St.,374
Taylor Langan,Rider,374
Kayleigh Truong,Gonzaga,373
Jordyn Cambridge,Vanderbilt,373
Madison Scott,Mississippi,373
Emily Saunders,Youngstown St.,373
Alexis Andrews,Charlotte,373
Serena Sundell,Kansas St.,372
Ashley Sofilkanich,Bucknell,371
Jalynn Gregory,Middle Tenn. St.,371
Savannah Tucker,Long Beach St.,371
Kristin Williams,Coastal Car.,371
Miah Monahan,Eastern Illinois,370
Sonia Citron,Notre Dame,370
Micah Gray,Oklahoma St.,370
Kamy Peppler,Milwaukee,369
Shayeann Day-Wilson,LSU,368
Amaya Battle,Minnesota,368
Kendal Cheesman,Belmont,368
Lola Mullaney,Harvard,368
Irene Murua,Detroit,368
Emy Hayford,Fordham,368
Marta Galic,Tulane,368
Kaylynne Truong,Gonzaga,367
Mya Moore,Cleveland St.,367
Tiarra East,Temple,367
Avery Brittingham,UT Arlington,366
Sherese Pittman,Tulane,366
Hannah Simental,Colorado St.,366
Jordan Olivares,CSU Bakersfield,366
Belle Lanpher,Central Conn. St.,365
Jade Upshaw,Central Arkansas,365
Mariah Elohim,Fresno St.,364
Payton Verhulst,Oklahoma,363
Saniya Rivers,N.C. State,363
Zakiyah Franklin,Kansas,363
Sophie Phillips,Rhode Island,363
Aleah Nelson,Temple,362
Lauren Schwartz,Washington,362
Leia Beattie,Northern Arizona,362
Hailey Giaratano,SE Louisiana,361
Taylor Jones,Texas,361
Kynidi Mason Striverson,Evansville,361
Emani Jefferson,Fla Gulf Coast,361
Sofie Lowis,SIU Edwardsville,361
DeeDee Hagemann,Memphis,360
Matehya Bryant,UC Riverside,360
En'Dya Buford,Old Dominion,360
Shayla Sellers,PFW,360
Quinesha Lockett,Toledo,359
Madison Hayes,N.C. State,359
Madelyn Bischoff,Ball St.,359
Stefanie Kulesza,UMass,358
Madison Smith,Air Force,358
Anna Olson,Vermont,357
Kendall Bostic,Illinois,357
Alexis Mark,Portland,357
Grace Cave,Nebraska Omaha,356
Bella Earle,Abilene Christian,356
Dalayah Daniels,Washington,356
Christabel Ezumah,Alabama,355
MiLaysia Fulwiley,South Carolina,355
Kylie Kornegay-Lucas,Towson,354
Janiah Barker,UCLA,354
Madison Mathiowetz,S. Dakota St.,354
Maya Wong,Illinois St.,353
Natalia Ackerman,California,352
Leilani Kapinus,Vanderbilt,352
Brooklyn Gray,Saint Louis,352
Emma Von Essen,Hofstra,352
Kendall Holmes,Belmont,352
Holly Kersgieter,Kansas,352
Jillian Archer,St. John's,351
Grace Boffeli,Northern Iowa,351
Rusne Augustinaite,Georgia Tech,351
Kirsten Lewis-Williams,Buffalo,350
Annika Shah,Cal Poly,350
Alexis Mead,W. Kentucky,349
Teneisia Brown,FDU,349
Audrey Roden,Nevada,349
Destiny Brown,Alcorn St.,348
Lauryn Pendleton,Alabama A&M,348
Abby Antognoli,Lafayette,347
Amiya Joyner,East Carolina,347
Lacy Stokes,Missouri St.,346
Tuti Jones,Belmont,346
Timea Gardiner,UCLA,346
Blythe Pearson,Lipscomb,346
Jo Raflo,Mount St. Mary's,346
Amhyia Moreland,New Mexico,345
Ruthie Udoumoh,Oral Roberts,345
Crystal Henderson,Georgia St.,344
Ayanna Khalfani,N.C. Greensboro,344
Kade Hackerott,UT Rio Grande Valley,344
Esmery Martinez,Arizona,344
Ivy Wolf,Dayton,344
Sarah Andrews,Baylor,343
Jayden Marable,Coastal Car.,343
Brooke Stonebraker,Northern Illinois,343
Taylor Thierry,Ohio St.,343
Emily Rodabaugh,Northern Arizona,343
Hailey Van Lith,TCU,342
Morgan Callahan,N.C. Central,342
Benthe Versteeg,Sacramento St.,341
Maggie Hartwig,Evansville,341
Mya Kone,Florida Intl.,340
Dena Jarrells,Youngstown St.,340
Dominique Ennis,Rice,340
Ivy Turner,E. Kentucky,339
Kim Villalobos,SDSU,339
Mara Neira,Appalachian St.,339
Cordasia Harris,Alabama St.,338
Kyla Bryant,N.C. Central,338
Talia von Oelhoffen,USC,337
Yarden Garzon,Indiana,337
Amari Whiting,BYU,337
Tara Wallack,Washington St.,337
Chloe Wilson,Delaware,337
Erin Wilson,UTEP,336
Kennady McQueen,Utah,334
Maya Peat,Texas Tech,334
