PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Leilani McIntosh, California (Pac-12),Senior,65,Guard,ncaaw.p.61383,California,32,1099,102,253,40.3,51,125,40.8,69,85,81.2,31,65,96,156,73,53,5,59,324
Grace Townsend, Richmond (Atlantic 10),Senior,65,Guard,ncaaw.p.64304,N. Carolina,33,1054,149,315,47.3,26,91,28.6,114,136,83.8,31,134,165,170,83,50,2,54,440
Jaylyn Sherrod, Colorado (Pac-12),Senior,67,Guard,ncaaw.p.60833,Colorado,31,844,137,309,44.3,16,62,25.8,112,143,78.3,16,84,100,151,72,67,3,78,402
Savannah Wheeler, Middle Tenn. (CUSA),Senior,66,Guard,ncaaw.p.61229,Middle Tenn. St.,30,1135,176,417,42.2,52,128,40.6,120,140,85.7,9,122,131,150,70,41,4,59,524
Jordan Hodges, Liberty (CUSA),Junior,66,Guard,ncaaw.p.66799,Liberty,31,974,102,245,41.6,37,97,38.1,25,34,73.5,12,93,105,139,66,29,5,63,266
Nae Nae Calhoun, California Baptist (WAC),Senior,65,Guard,ncaaw.p.61746,California Baptist,27,791,60,181,33.1,35,96,36.5,33,43,76.7,9,103,112,125,58,53,6,79,188
Molly Masciantonio, La Salle (Atlantic 10),Senior,70,Guard,ncaaw.p.60449,La Salle,30,933,84,256,32.8,36,132,27.3,45,65,69.2,12,58,70,105,51,47,7,32,249
Kennady McQueen, Utah (Pac-12),Junior,70,Guard,ncaaw.p.64386,Utah,32,963,121,250,48.4,62,159,39,30,35,85.7,19,112,131,98,49,28,5,36,334
JaMya Mingo-Young, Auburn (SEC),Senior,68,Guard,ncaaw.p.61013,Auburn,28,720,80,214,37.4,14,39,35.9,76,90,84.4,23,111,134,111,50,45,5,53,250
Jaz Shelley, Nebraska (Big Ten),Senior,69,Guard,ncaaw.p.60867,Nebraska,32,1044,132,336,39.3,79,224,35.3,94,106,88.7,31,103,134,173,87,53,7,66,437
Una Jovanovic, TCU (Big 12),Junior,69,Guard,ncaaw.p.67609,TCU,31,859,82,176,46.6,32,80,40,20,30,66.7,14,67,81,98,42,10,2,48,216
